name,score
WENDY🎅,53
WADE,65
THOR,60
ROHA,60
JEFF,73
SANG❄️HWA,103
PATRICK,65
ROHA,65
MILES,60
BRICE,60
PHILIP,28
ALLAN,60
ELRIC,95
DANIEL,90
LUKE,100
ROY,43
MILES,60
PATRICK,90
LUCA,40
ZEN🎄,60
JEFF,22
PATRICK,31
SASHA,26
LUCAS,53
GOLD,9
ED,65
DEAN,38
AEGON,100
JERRY,27
DERRI,65
IVAN,53
ELRIC,23
NIKE,60
DEAN,140
DEAN,60
GOLD,44
ZEN🎄,60
JUSTIN,65
PATRICK,105
ELLE,60
ALLAN,100
ZEN🎄,60
ISLA,120
BEN,46
DEAN,58
JUSTIN,79
MILES,60
ELLIE,6
ZEN🎄,60
ZEN🎄,105
DANE,71
PATRICK,41
ELLA❄️,125
OCEAN,45
LUMI,7
WADE,70
DEAN,90
WADE,60
ALLAN,95
LUKE,37
ZEN🎄,60
JARROD,60
BRICE,43
DANIEL,46
ROHA,59
BK,75
GLORIA,40
ZEN🎄,65
RO,120
ELLE,48
JEFF,38
JEFF,68
ELLA❄️,48
WADE,65
WADE,60
ZEN🎄,140
LUCA,26
AEGON,48
THOR,60
PHILIP,95
ED,60
DANIEL,81
WADE,56
ELRIC,43
BEN,35
ROHA,60
JUSTIN,60
IVAN,75
ELRIC,70
AEGON,49
THEO,65
☃️,45
ALLAN,30
ROHA,60
ZUNE,57
ROMY,48
LUMI,16
DEAN,60
MEIIA,95
SILO,60
CROW,70
MILES,60
ROHA,15
PATRICK,70
ROHA,60
ED,100
DANIEL,31
ROHA,45
ELLE,60
ED,60
ROHA,26
ELLIE,31
DEAN,23
LUMI,95
ROHA,65
ELLE,65
RINA,45
ZUNE,2
IVAN,71
LIAM,60
B⭐,60
PATRICK,59
MEIIA,54
RINA,37
DERRICK,20
DEAN,70
JUSTIN,73
DG,48
LIAM,88
DEAN,31
JASMINE,24
JEFF,29
GLORIA,6
ELLE,90
ROMY,73
ALLAN,60
DEAN,65
ZEN🎄,60
LUKE,41
JUSTIN,45
ZEN🎄,70
CROW,100
MILES,53
JUSTIN,89
MARVIN,127
JOY,60
JUSTIN,65
ELLE,103
DANIEL,80
CROW,92
WENDY🎅,59
ROHA,60
GREEN,49
HAZEL,60
ROHA,65
BK,94
GOLD,65
ZEN🎄,60
AEGON,95
JEFF,50
DEAN,73
ZUNE,60
PHILIP,100
JUDY,70
DEAN,60
ZEN🎄,60
ELLE,53
BRICE,65
ELLE,65
OLIVIA,23
ISLA,60
CROW,31
JARROD,56
ELLE,105
